2.3735;-0.045;-0.166;-0.842;0.656;0.31;0.364;0.583;-0.045;0.363;0.655;0.31;-0.774;-0.835
2.3735;-0.045;-0.774;-0.828;0.656;0.311;0.363;0.583;-0.046;0.363;0.656;0.311;-0.768;-0.821
2.3735;-0.046;0.253;-0.477;0.656;0.022;0.858;0.583;-0.045;0.858;0.656;0.021;-0.787;-0.477
0.425;-0.364;0.409;-0.477;0.656;0.021;0.858;-0.716;-0.367;0.858;0.656;0.022;0.41;-0.474
1.136;-0.75;-0.684;-0.477;0.656;-0.794;0.789;-0.242;-0.744;0.789;0.656;-0.787;-0.679;-0.477
1.136;-0.744;-0.679;-0.477;0.656;-0.787;0.789;0;0;0;0;0;0;0
1.139;-0.738;-0.679;-0.474;0.656;-0.787;0.789;-0.242;-0.733;0.789;0.656;-0.787;-0.679;-0.474
2.594;0.265;0.409;0.282;-0.453;0.307;0.256;0.729;0.666;0.371;0.146;-0.807;-0.75;0.282
2.5925;0.38;0.648;-0.694;0.574;0.264;0.371;0.73;0.38;0.371;0.575;0.264;0.648;-0.694
2.5925;0.394;0.004;-0.278;-0.484;-0.8;0.138;0.73;0.394;-0.34;-0.484;0.403;0.004;-0.521
2.231;0.394;0.64;-0.331;-0.481;0.829;0.133;0.489;0.394;0.132;-0.481;0.829;0.64;-0.331
2.231;0.394;0.64;-0.331;-0.481;0.516;0.133;0.627;0.292;-0.99;-0.85;0.554;0.964;-0.828
2.438;0.291;0.964;-0.828;-0.85;-0.814;-0.99;0.626;0.291;-0.99;-0.85;0.087;0.964;-0.828
1.847;-0.157;0.171;0.474;0.869;0.21;0.514;0.232;-0.157;0.514;0.244;0.207;0.168;0.472
1.847;-0.157;0.169;0.473;0.245;0.208;0.515;0.232;-0.159;0.514;0.244;0.208;0.17;0.473
1.8485;-0.157;0.395;0.391;0.69;0.324;0.331;0.442;0.051;0.233;0.221;0.312;0.219;0.232
1.1105;0.377;0.361;-0.727;0.009;0.796;-0.787;-0.097;0.85;0.998;-0.865;-0.881;-0.224;-0.229
1.2515;0.395;0.479;0.84;0.071;0.095;-0.487;-0.165;0.395;-0.487;-0.009;0.097;0.48;0.84
